Race and Ethnicity 2
ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,White Alone,0,Not Hispanic or Latino,2021,2021,2032,"Temecula, CA",16000US0678120,temecula-ca,54708,0.5001828554710360
0,White Alone,1,Hispanic or Latino,2021,2021,1674,"Temecula, CA",16000US0678120,temecula-ca,13334,0.12190974253949700
1,Black or African American Alone,0,Not Hispanic or Latino,2021,2021,644,"Temecula, CA",16000US0678120,temecula-ca,3414,0.031213428905792900
1,Black or African American Alone,1,Hispanic or Latino,2021,2021,290,"Temecula, CA",16000US0678120,temecula-ca,534,0.004882241076653010
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2021,2021,137,"Temecula, CA",16000US0678120,temecula-ca,290,0.002651404330017550
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2021,2021,74,"Temecula, CA",16000US0678120,temecula-ca,131,0.0011977033352837900
3,Asian Alone,0,Not Hispanic or Latino,2021,2021,1317,"Temecula, CA",16000US0678120,temecula-ca,11759,0.10750987419543600
3,Asian Alone,1,Hispanic or Latino,2021,2021,161,"Temecula, CA",16000US0678120,temecula-ca,294,0.0026879754242246900
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2021,2021,330,"Temecula, CA",16000US0678120,temecula-ca,333,0.003044543592744300
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2021,2021,62,"Temecula, CA",16000US0678120,temecula-ca,56,0.0005119953188999420
5,Some Other Race Alone,0,Not Hispanic or Latino,2021,2021,236,"Temecula, CA",16000US0678120,temecula-ca,366,0.003346255119953190
5,Some Other Race Alone,1,Hispanic or Latino,2021,2021,1301,"Temecula, CA",16000US0678120,temecula-ca,9680,0.0885020479812756
6,Two or More Races,0,Not Hispanic or Latino,2021,2021,1146.2691655976800,"Temecula, CA",16000US0678120,temecula-ca,5926,0.05418007606787600
6,Two or More Races,1,Hispanic or Latino,2021,2021,1384.602831139670,"Temecula, CA",16000US0678120,temecula-ca,8551,0.0781798566413107
0,White Alone,0,Not Hispanic or Latino,2020,2020,2208,"Temecula, CA",16000US0678120,temecula-ca,57295,0.5065109576809850
0,White Alone,1,Hispanic or Latino,2020,2020,1648,"Temecula, CA",16000US0678120,temecula-ca,16435,0.14529204275219500
1,Black or African American Alone,0,Not Hispanic or Latino,2020,2020,737,"Temecula, CA",16000US0678120,temecula-ca,4588,0.040559774392885200
